,raw
754,0.88
755,0.91
756,0.76
757,0.92
758,0.95
759,0.95
760,0.94
761,0.94
762,0.79
763,0.92
764,0.94
765,0.76
766,0.92
767,0.95
768,0.99
769,0.93
770,0.94
771,0.82
772,0.92
773,0.96
774,0.76
775,0.91
776,0.97
777,0.94
778,0.94
779,0.94
780,0.81
781,0.92
782,0.94
783,0.77
784,0.91
785,0.97
786,0.96
787,0.92
788,0.94
789,0.8
790,0.89
791,0.94
792,0.78
793,0.91
794,0.97
795,0.93
796,0.93
797,0.92
798,0.8
799,0.89
800,0.94
801,0.77
802,0.91
803,0.97
804,0.94
805,0.92
806,0.9
807,0.74
808,0.89
809,0.96
810,0.53
811,0.52
812,0.52
813,0.47
814,0.49
815,0.57
816,0.44
817,0.55
818,0.52
819,0.51
820,0.59
821,0.63
822,0.49
823,0.55
824,0.62
825,0.51
826,0.66
827,0.58
828,0.38
829,0.62
830,0.63
831,0.51
832,0.61
833,0.59
834,0.56
835,0.54
836,0.61
837,0.43
838,0.59
839,0.74
840,0.53
841,0.65
842,0.59
843,0.58
844,0.62
845,0.65
846,0.62
847,0.65
848,0.73
849,0.54
850,0.66
851,0.67
852,0.57
853,0.69
854,0.74
855,0.61
856,0.67
857,0.73
858,0.56
859,0.67
860,0.68
861,0.63
862,0.7
863,0.71
864,0.57
865,0.7
866,0.77
867,0.6
868,0.73
869,0.67
870,0.62
871,0.65
872,0.71
873,0.55
874,0.71
875,0.75
876,0.58
877,0.69
878,0.73
879,0.67
880,0.62
881,0.72
882,0.57
883,0.67
884,0.78
885,0.64
886,0.71
887,0.7
888,0.69
889,0.75
890,0.75
891,0.59
892,0.71
893,0.79
894,0.63
895,0.75
896,0.74
897,0.66
898,0.74
899,0.78
900,0.56
901,0.71
902,0.77
903,0.64
904,0.71
905,0.75
906,0.7
907,0.69
908,0.76
909,0.57
910,0.7
911,0.81
912,0.71
913,0.75
914,0.82
915,0.68
916,0.75
917,0.79
918,0.61
919,0.72
920,0.79
921,0.69
922,0.76
923,0.78
924,0.67
925,0.73
926,0.8
927,0.67
928,0.74
929,0.8
930,0.68
931,0.67
932,0.74
933,0.68
934,0.73
935,0.77
936,0.63
937,0.74
938,0.8
939,0.67
940,0.73
941,0.75
942,0.76
943,0.78
944,0.76
945,0.63
946,0.75
947,0.81
948,0.68
949,0.74
950,0.76
951,0.7
952,0.79
953,0.8
954,0.68
955,0.74
956,0.81
957,0.64
958,0.78
959,0.79
960,0.69
961,0.72
962,0.78
963,0.66
964,0.76
965,0.8
966,0.67
967,0.78
968,0.78
969,0.7
970,0.75
971,0.76
972,0.68
973,0.77
974,0.8
975,0.71
976,0.78
977,0.78
978,0.65
979,0.77
980,0.83
981,0.65
982,0.75
983,0.79
984,0.74
985,0.8
986,0.8
987,0.72
988,0.72
989,0.77
990,0.68
991,0.78
992,0.78
993,0.77
994,0.76
995,0.76
996,0.64
997,0.79
998,0.82
999,0.66
1000,0.78
1001,0.77
1002,0.75
1003,0.74
1004,0.75
1005,0.65
1006,0.74
1007,0.78
1008,0.69
1009,0.78
1010,0.79
1011,0.81
1012,0.75
1013,0.76
1014,0.64
1015,0.77
1016,0.78
1017,0.68
1018,0.79
1019,0.79
1020,0.74
1021,0.8
1022,0.79
1023,0.71
1024,0.78
1025,0.82
1026,0.68
1027,0.79
1028,0.79
1029,0.75
1030,0.77
1031,0.78
1032,0.7
1033,0.76
1034,0.78
1035,0.67
1036,0.78
1037,0.78
1038,0.81
1039,0.82
1040,0.8
1041,0.7
1042,0.75
1043,0.81
1044,0.67
1045,0.78
1046,0.78
1047,0.77
1048,0.83
1049,0.8
1050,0.7
1051,0.75
1052,0.79
1053,0.68
1054,0.79
1055,0.8
1056,0.8
1057,0.82
1058,0.82
1059,0.7
1060,0.76
1061,0.81
1062,0.68
1063,0.78
1064,0.81
1065,0.82
1066,0.8
1067,0.81
1068,0.72
1069,0.82
1070,0.8
1071,0.67
1072,0.79
1073,0.81
1074,0.78
1075,0.79
1076,0.83
1077,0.69
1078,0.81
1079,0.82
1080,0.54
1081,0.48
1082,0.65
1083,0.57
1084,0.43
1085,0.47
1086,0.46
1087,0.54
1088,0.55
1089,0.59
1090,0.63
1091,0.83
1092,0.53
1093,0.61
1094,0.63
1095,0.54
1096,0.67
1097,0.7
1098,0.62
1099,0.77
1100,0.89
1101,0.5
1102,0.74
1103,0.76
1104,0.58
1105,0.66
1106,0.79
1107,0.58
1108,0.87
1109,0.93
1110,0.65
1111,0.74
1112,0.71
1113,0.52
1114,0.69
1115,0.82
1116,0.57
1117,0.84
1118,0.91
1119,0.73
1120,0.74
1121,0.8
1122,0.61
1123,0.64
1124,0.84
1125,0.61
1126,0.86
1127,0.93
1128,0.72
1129,0.77
1130,0.78
1131,0.55
1132,0.66
1133,0.88
1134,0.7
1135,0.83
1136,0.94
1137,0.72
1138,0.79
1139,0.77
1140,0.66
1141,0.69
1142,0.86
1143,0.72
1144,0.83
1145,0.94
1146,0.76
1147,0.85
1148,0.86
1149,0.59
1150,0.72
1151,0.91
1152,0.72
1153,0.85
1154,0.94
1155,0.81
1156,0.89
1157,0.87
1158,0.65
1159,0.7
1160,0.94
1161,0.74
1162,0.91
1163,0.94
1164,0.77
1165,0.86
1166,0.89
1167,0.67
1168,0.77
1169,0.93
1170,0.73
1171,0.91
1172,0.94
1173,0.88
1174,0.93
1175,0.9
1176,0.67
1177,0.77
1178,0.97
1179,0.71
1180,0.92
1181,0.95
1182,0.85
1183,0.87
1184,0.85
1185,0.57
1186,0.8
1187,0.92
1188,0.72
1189,0.91
1190,0.95
1191,0.87
1192,0.85
1193,0.84
1194,0.63
1195,0.83
1196,0.94
1197,0.78
1198,0.93
1199,0.95
1200,0.82
1201,0.9
1202,0.88
1203,0.63
1204,0.77
1205,0.94
1206,0.76
1207,0.93
1208,0.95
1209,0.89
1210,0.9
1211,0.9
1212,0.67
1213,0.87
1214,0.97
1215,0.79
1216,0.93
1217,0.95
1218,0.93
1219,0.94
1220,0.91
1221,0.71
1222,0.86
1223,0.99
1224,0.8
1225,0.94
1226,0.95
1227,0.87
1228,0.93
1229,0.95
1230,0.81
1231,0.88
1232,0.95
1233,0.81
1234,0.94
1235,0.95
1236,0.88
1237,0.98
1238,0.98
1239,0.73
1240,0.87
1241,0.97
1242,0.8
1243,0.94
1244,0.96
1245,0.91
1246,0.94
1247,0.94
1248,0.7
1249,0.86
1250,0.99
1251,0.76
1252,0.95
1253,0.96
1254,0.92
1255,0.92
1256,0.93
1257,0.71
1258,0.91
1259,0.96
1260,0.79
1261,0.95
1262,0.96
1263,0.94
1264,0.98
1265,0.98
1266,0.67
1267,0.91
1268,0.95
1269,0.8
1270,0.95
1271,0.96
1272,0.97
1273,0.98
1274,0.97
1275,0.74
1276,0.9
1277,0.97
1278,0.8
1279,0.94
1280,0.95
1281,0.97
1282,0.98
1283,0.98
1284,0.72
1285,0.9
1286,0.95
1287,0.8
1288,0.93
1289,0.96
1290,0.97
1291,0.97
1292,0.97
1293,0.7
1294,0.93
1295,0.95
1296,0.8
1297,0.93
1298,0.96
1299,0.94
1300,0.96
1301,0.96
1302,0.7
1303,0.95
1304,0.95
1305,0.77
1306,0.94
1307,0.96
1308,0.95
1309,0.96
1310,0.96
1311,0.74
1312,0.87
1313,0.96
1314,0.79
1315,0.94
1316,0.96
1317,0.95
1318,0.94
1319,0.94
1320,0.77
1321,0.92
1322,0.96
1323,0.78
1324,0.95
1325,0.96
1326,0.96
1327,0.96
1328,0.95
1329,0.74
1330,0.89
1331,0.96
1332,0.78
1333,0.94
1334,0.95
1335,0.97
1336,0.95
1337,0.94
1338,0.79
1339,0.88
1340,0.97
1341,0.78
1342,0.94
1343,0.96
1344,0.96
1345,0.94
1346,0.93
1347,0.73
1348,0.87
1349,0.96
1350,0.49
1351,0.53
1352,0.57
1353,0.48
1354,0.5
1355,0.58
1356,0.51
1357,0.54
1358,0.52
1359,0.52
1360,0.58
1361,0.65
1362,0.45
1363,0.52
1364,0.57
1365,0.54
1366,0.59
1367,0.67
1368,0.5
1369,0.65
1370,0.71
1371,0.44
1372,0.57
1373,0.63
1374,0.55
1375,0.55
1376,0.61
1377,0.56
1378,0.69
1379,0.72
1380,0.52
1381,0.61
1382,0.6
1383,0.51
1384,0.53
1385,0.64
1386,0.54
1387,0.75
1388,0.71
1389,0.49
1390,0.62
1391,0.64
1392,0.57
1393,0.65
1394,0.68
1395,0.59
1396,0.73
1397,0.73
1398,0.47
1399,0.65
1400,0.65
1401,0.62
1402,0.62
1403,0.7
1404,0.68
1405,0.72
1406,0.77
1407,0.63
1408,0.66
1409,0.67
1410,0.59
1411,0.59
1412,0.7
1413,0.65
1414,0.69
1415,0.74
1416,0.63
1417,0.76
1418,0.67
1419,0.57
1420,0.7
1421,0.71
1422,0.63
1423,0.72
1424,0.77
1425,0.61
1426,0.76
1427,0.75
1428,0.5
1429,0.69
1430,0.72
1431,0.65
1432,0.7
1433,0.81
1434,0.67
1435,0.75
1436,0.73
1437,0.69
1438,0.62
1439,0.75
1440,0.65
1441,0.71
1442,0.82
1443,0.54
1444,0.65
1445,0.69
1446,0.64
1447,0.73
1448,0.68
1449,0.69
1450,0.74
1451,0.82
1452,0.65
1453,0.69
1454,0.7
1455,0.61
1456,0.69
1457,0.76
1458,0.67
1459,0.75
1460,0.81
1461,0.67
1462,0.7
1463,0.7
1464,0.62
1465,0.67
1466,0.81
1467,0.63
1468,0.76
1469,0.83
1470,0.72
1471,0.72
1472,0.72
1473,0.64
1474,0.72
1475,0.8
1476,0.68
1477,0.73
1478,0.83
1479,0.69
1480,0.77
1481,0.78
1482,0.68
1483,0.75
1484,0.76
1485,0.66
1486,0.72
1487,0.84
1488,0.66
1489,0.68
1490,0.69
1491,0.7
1492,0.66
1493,0.78
1494,0.69
1495,0.74
1496,0.84
1497,0.7
1498,0.73
1499,0.74
1500,0.71
1501,0.69
1502,0.78
1503,0.7
1504,0.75
1505,0.84
1506,0.69
1507,0.74
1508,0.76
1509,0.69
1510,0.74
1511,0.8
1512,0.65
1513,0.76
1514,0.82
1515,0.69
1516,0.74
1517,0.73
1518,0.69
1519,0.74
1520,0.8
1521,0.66
1522,0.74
1523,0.83
1524,0.7
1525,0.76
1526,0.74
1527,0.68
1528,0.78
1529,0.75
1530,0.67
1531,0.76
1532,0.82
1533,0.69
1534,0.78
1535,0.73
1536,0.61
1537,0.75
1538,0.8
1539,0.7
1540,0.76
1541,0.85
1542,0.77
1543,0.78
1544,0.77
1545,0.69
1546,0.68
1547,0.8
1548,0.7
1549,0.75
1550,0.84
1551,0.76
1552,0.79
1553,0.81
1554,0.65
1555,0.73
1556,0.79
1557,0.69
1558,0.78
1559,0.84
1560,0.69
1561,0.72
1562,0.75
1563,0.64
1564,0.79
1565,0.84
1566,0.69
1567,0.76
1568,0.81
1569,0.74
1570,0.77
1571,0.77
1572,0.63
1573,0.73
1574,0.79
1575,0.7
1576,0.78
1577,0.82
1578,0.74
1579,0.82
1580,0.82
1581,0.67
1582,0.73
1583,0.77
1584,0.71
1585,0.78
1586,0.83
1587,0.72
1588,0.77
1589,0.81
1590,0.71
1591,0.76
1592,0.79
1593,0.75
1594,0.79
1595,0.83
1596,0.78
1597,0.79
1598,0.79
1599,0.72
1600,0.8
1601,0.77
1602,0.73
1603,0.79
1604,0.84
1605,0.72
1606,0.77
1607,0.74
1608,0.72
1609,0.76
1610,0.8
1611,0.7
1612,0.79
1613,0.86
1614,0.76
1615,0.78
1616,0.78
1617,0.66
1618,0.77
1619,0.81
1620,0.54
1621,0.58
1622,0.56
1623,0.6
1624,0.61
1625,0.5
1626,0.53
1627,0.56
1628,0.61
1629,0.64
1630,0.67
1631,0.68
1632,0.53
1633,0.53
1634,0.59
1635,0.53
1636,0.59
1637,0.68
1638,0.53
1639,0.72
1640,0.76
1641,0.47
1642,0.56
1643,0.65
1644,0.6
1645,0.64
1646,0.71
1647,0.67
1648,0.81
1649,0.81
1650,0.54
1651,0.59
1652,0.65
1653,0.56
1654,0.6
1655,0.76
1656,0.69
1657,0.85
1658,0.9
1659,0.53
1660,0.56
1661,0.65
1662,0.6
1663,0.66
1664,0.81
1665,0.7
1666,0.86
1667,0.92
1668,0.57
1669,0.62
1670,0.67
1671,0.62
1672,0.62
1673,0.84
1674,0.71
1675,0.85
1676,0.94
1677,0.51
1678,0.58
1679,0.68
1680,0.61
1681,0.64
1682,0.88
1683,0.72
1684,0.87
1685,0.9
1686,0.68
1687,0.7
1688,0.71
1689,0.69
1690,0.64
1691,0.86
1692,0.73
1693,0.86
1694,0.95
1695,0.79
1696,0.79
1697,0.78
1698,0.57
1699,0.77
1700,0.9
1701,0.74
1702,0.9
1703,0.93
1704,0.77
1705,0.82
1706,0.83
1707,0.62
1708,0.75
1709,0.91
1710,0.72
1711,0.88
1712,0.93
1713,0.81
1714,0.79
1715,0.77
1716,0.62
1717,0.76
1718,0.92
1719,0.75
1720,0.89
1721,0.93
1722,0.84
1723,0.8
1724,0.84
1725,0.7
1726,0.77
1727,0.87
1728,0.75
1729,0.91
1730,0.94
1731,0.82
1732,0.83
1733,0.86
1734,0.69
1735,0.82
1736,0.89
1737,0.8
1738,0.91
1739,0.95
1740,0.82
1741,0.86
1742,0.84
1743,0.67
1744,0.79
1745,0.91
1746,0.81
1747,0.91
1748,0.97
1749,0.78
1750,0.83
1751,0.83
1752,0.81
1753,0.84
1754,0.95
1755,0.77
1756,0.94
1757,0.96
1758,0.85
1759,0.86
1760,0.89
1761,0.82
1762,0.83
1763,0.94
1764,0.8
1765,0.94
1766,0.97
1767,0.88
1768,0.87
1769,0.87
1770,0.71
1771,0.85
1772,0.89
1773,0.81
1774,0.94
1775,0.97
1776,0.9
1777,0.88
1778,0.86
1779,0.65
1780,0.84
1781,0.95
1782,0.81
1783,0.93
1784,0.97
1785,0.9
1786,0.94
1787,0.92
1788,0.73
1789,0.87
1790,0.94
1791,0.81
1792,0.96
1793,0.97
1794,0.95
1795,0.93
1796,0.93
1797,0.73
1798,0.85
1799,0.93
1800,0.77
1801,0.96
1802,0.97
1803,0.92
1804,0.94
1805,0.96
1806,0.84
1807,0.87
1808,0.96
1809,0.79
1810,0.95
1811,0.98
1812,0.95
1813,0.95
1814,0.93
1815,0.77
1816,0.88
1817,0.97
1818,0.83
1819,0.93
1820,0.98
1821,0.93
1822,0.94
1823,0.94
1824,0.81
1825,0.85
1826,0.96
1827,0.82
1828,0.93
1829,0.97
1830,0.95
1831,0.96
1832,0.93
1833,0.76
1834,0.83
1835,0.96
1836,0.84
1837,0.94
1838,0.98
1839,0.96
1840,0.95
1841,0.96
1842,0.8
1843,0.88
1844,0.96
1845,0.85
1846,0.94
1847,0.97
1848,0.94
1849,0.9
1850,0.91
1851,0.73
1852,0.83
1853,0.98
1854,0.84
1855,0.95
1856,0.99
1857,0.96
1858,0.98
1859,0.98
1860,0.74
1861,0.9
1862,0.98
1863,0.82
1864,0.93
1865,0.98
1866,0.96
1867,0.98
1868,0.97
1869,0.68
1870,0.9
1871,0.97
1872,0.83
1873,0.92
1874,0.97
1875,0.96
1876,0.95
1877,0.95
1878,0.75
1879,0.88
1880,0.95
1881,0.84
1882,0.92
1883,0.97
1884,0.97
1885,0.93
1886,0.94
1887,0.84
1888,0.87
1889,0.94
1890,0.51
1891,0.49
1892,0.54
1893,0.6
1894,0.57
1895,0.59
1896,0.65
1897,0.51
1898,0.53
1899,0.58
1900,0.58
1901,0.59
1902,0.63
1903,0.62
1904,0.61
1905,0.47
1906,0.53
1907,0.61
1908,0.52
1909,0.6
1910,0.67
1911,0.55
1912,0.58
1913,0.64
1914,0.5
1915,0.6
1916,0.63
1917,0.54
1918,0.63
1919,0.64
1920,0.6
1921,0.58
1922,0.6
1923,0.6
1924,0.58
1925,0.66
1926,0.66
1927,0.66
1928,0.8
1929,0.53
1930,0.56
1931,0.58
1932,0.65
1933,0.61
1934,0.58
1935,0.63
1936,0.7
1937,0.77
1938,0.57
1939,0.53
1940,0.61
1941,0.75
1942,0.63
1943,0.72
1944,0.64
1945,0.68
1946,0.75
1947,0.51
1948,0.57
1949,0.66
1950,0.59
1951,0.65
1952,0.69
1953,0.66
1954,0.7
1955,0.74
1956,0.58
1957,0.63
1958,0.66
1959,0.68
1960,0.63
1961,0.76
1962,0.66
1963,0.73
1964,0.77
1965,0.62
1966,0.65
1967,0.72
1968,0.62
1969,0.62
1970,0.74
1971,0.68
1972,0.71
1973,0.71
1974,0.61
1975,0.67
1976,0.72
1977,0.68
1978,0.73
1979,0.72
1980,0.67
1981,0.69
1982,0.68
1983,0.6
1984,0.66
1985,0.65
1986,0.64
1987,0.67
1988,0.71
1989,0.67
1990,0.69
1991,0.73
1992,0.58
1993,0.65
1994,0.69
1995,0.59
1996,0.69
1997,0.78
1998,0.66
1999,0.69
2000,0.74
2001,0.6
2002,0.66
2003,0.72
2004,0.65
2005,0.72
2006,0.73
2007,0.69
2008,0.72
2009,0.75
2010,0.62
2011,0.63
2012,0.7
2013,0.66
2014,0.66
2015,0.73
2016,0.67
2017,0.73
2018,0.76
2019,0.59
2020,0.68
2021,0.69
2022,0.64
2023,0.71
2024,0.77
2025,0.61
2026,0.79
2027,0.76
2028,0.71
2029,0.72
2030,0.77
2031,0.68
2032,0.71
2033,0.8
2034,0.66
2035,0.74
2036,0.75
2037,0.68
2038,0.72
2039,0.78
2040,0.58
2041,0.73
2042,0.74
2043,0.66
2044,0.76
2045,0.75
2046,0.72
2047,0.75
2048,0.74
2049,0.58
2050,0.74
2051,0.75
2052,0.68
2053,0.76
2054,0.76
2055,0.71
2056,0.74
2057,0.77
2058,0.64
2059,0.68
2060,0.81
2061,0.72
2062,0.78
2063,0.77
2064,0.67
2065,0.67
2066,0.72
2067,0.71
2068,0.73
2069,0.75
2070,0.72
2071,0.77
2072,0.76
2073,0.73
2074,0.74
2075,0.79
2076,0.67
2077,0.66
2078,0.8
2079,0.74
2080,0.78
2081,0.76
2082,0.71
2083,0.76
2084,0.78
2085,0.71
2086,0.71
2087,0.77
2088,0.72
2089,0.79
2090,0.76
2091,0.7
2092,0.72
2093,0.77
2094,0.65
2095,0.7
2096,0.74
2097,0.74
2098,0.77
2099,0.77
2100,0.66
2101,0.71
2102,0.73
2103,0.61
2104,0.77
2105,0.78
2106,0.73
2107,0.77
2108,0.76
2109,0.72
2110,0.74
2111,0.72
2112,0.62
2113,0.75
2114,0.8
2115,0.76
2116,0.77
2117,0.77
2118,0.66
2119,0.74
2120,0.78
2121,0.64
2122,0.77
2123,0.82
2124,0.74
2125,0.78
2126,0.78
2127,0.69
2128,0.75
2129,0.79
2130,0.59
2131,0.7
2132,0.8
2133,0.72
2134,0.77
2135,0.8
2136,0.7
2137,0.78
2138,0.78
2139,0.6
2140,0.71
