,raw
1443,0.575
1444,0.62
1445,0.71
1446,0.61
1447,0.71
1448,0.695
1449,0.58
1450,0.64
1451,0.735
1452,0.575
1453,0.65
1454,0.655
1455,0.625
1456,0.61
1457,0.705
1458,0.53
1459,0.63
1460,0.75
1461,0.58
1462,0.65
1463,0.665
1464,0.655
1465,0.62
1466,0.73
1467,0.55
1468,0.7
1469,0.77
1470,0.645
1471,0.7
1472,0.645
1473,0.57
1474,0.565
1475,0.75
1476,0.55
1477,0.72
1478,0.78
1479,0.58
1480,0.7
1481,0.73
1482,0.62
1483,0.65
1484,0.695
1485,0.56
1486,0.685
1487,0.795
1488,0.54
1489,0.665
1490,0.66
1491,0.585
1492,0.685
1493,0.74
1494,0.58
1495,0.7
1496,0.795
1497,0.625
1498,0.67
1499,0.735
1500,0.59
1501,0.66
1502,0.74
1503,0.535
1504,0.725
1505,0.755
1506,0.66
1507,0.71
1508,0.715
1509,0.62
1510,0.685
1511,0.735
1512,0.565
1513,0.735
1514,0.765
1515,0.67
1516,0.685
1517,0.72
1518,0.625
1519,0.7
1520,0.78
1521,0.595
1522,0.705
1523,0.78
1524,0.63
1525,0.655
1526,0.685
1527,0.62
1528,0.7
1529,0.67
1530,0.555
1531,0.725
1532,0.755
1533,0.65
1534,0.7
1535,0.685
1536,0.58
1537,0.72
1538,0.735
1539,0.56
1540,0.78
1541,0.79
1542,0.67
1543,0.79
1544,0.725
1545,0.64
1546,0.725
1547,0.72
1548,0.57
1549,0.715
1550,0.775
1551,0.64
1552,0.78
1553,0.75
1554,0.65
1555,0.725
1556,0.74
1557,0.585
1558,0.75
1559,0.74
1560,0.66
1561,0.69
1562,0.735
1563,0.575
1564,0.69
1565,0.765
1566,0.65
1567,0.73
1568,0.795
1569,0.67
1570,0.695
1571,0.73
1572,0.59
1573,0.685
1574,0.76
1575,0.605
1576,0.75
1577,0.755
1578,0.655
1579,0.72
1580,0.74
1581,0.595
1582,0.625
1583,0.755
1584,0.61
1585,0.755
1586,0.78
1587,0.665
1588,0.74
1589,0.73
1590,0.605
1591,0.75
1592,0.76
1593,0.59
1594,0.725
1595,0.81
1596,0.68
1597,0.73
1598,0.77
1599,0.655
1600,0.725
1601,0.75
1602,0.57
1603,0.74
1604,0.785
1605,0.625
1606,0.715
1607,0.75
1608,0.61
1609,0.695
1610,0.725
1611,0.625
1612,0.735
1613,0.775
1614,0.71
1615,0.74
1616,0.73
1617,0.61
1618,0.695
1619,0.765
1620,0.5
1621,0.5
1622,0.615
1623,0.5
1624,0.5
1625,0.515
1626,0.5
1627,0.5
1628,0.565
1629,0.5
1630,0.605
1631,0.69
1632,0.5
1633,0.515
1634,0.58
1635,0.5
1636,0.55
1637,0.6
1638,0.585
1639,0.735
1640,0.755
1641,0.575
1642,0.61
1643,0.625
1644,0.535
1645,0.595
1646,0.685
1647,0.58
1648,0.8
1649,0.795
1650,0.535
1651,0.6
1652,0.605
1653,0.555
1654,0.61
1655,0.755
1656,0.59
1657,0.78
1658,0.805
1659,0.565
1660,0.62
1661,0.63
1662,0.605
1663,0.64
1664,0.8
1665,0.675
1666,0.815
1667,0.845
1668,0.56
1669,0.615
1670,0.615
1671,0.59
1672,0.605
1673,0.795
1674,0.67
1675,0.815
1676,0.86
1677,0.545
1678,0.6
1679,0.65
1680,0.635
1681,0.58
1682,0.825
1683,0.675
1684,0.815
1685,0.865
1686,0.635
1687,0.71
1688,0.7
1689,0.59
1690,0.705
1691,0.835
1692,0.69
1693,0.815
1694,0.875
1695,0.74
1696,0.715
1697,0.725
1698,0.595
1699,0.63
1700,0.835
1701,0.685
1702,0.83
1703,0.87
1704,0.78
1705,0.785
1706,0.8
1707,0.57
1708,0.71
1709,0.845
1710,0.705
1711,0.805
1712,0.865
1713,0.74
1714,0.78
1715,0.78
1716,0.595
1717,0.67
1718,0.84
1719,0.7
1720,0.825
1721,0.88
1722,0.71
1723,0.82
1724,0.755
1725,0.665
1726,0.715
1727,0.85
1728,0.685
1729,0.835
1730,0.89
1731,0.7
1732,0.785
1733,0.76
1734,0.67
1735,0.725
1736,0.825
1737,0.77
1738,0.845
1739,0.92
1740,0.69
1741,0.76
1742,0.785
1743,0.715
1744,0.73
1745,0.855
1746,0.75
1747,0.89
1748,0.91
1749,0.62
1750,0.74
1751,0.77
1752,0.71
1753,0.775
1754,0.905
1755,0.745
1756,0.9
1757,0.92
1758,0.8
1759,0.82
1760,0.85
1761,0.755
1762,0.795
1763,0.925
1764,0.75
1765,0.915
1766,0.905
1767,0.795
1768,0.815
1769,0.83
1770,0.665
1771,0.815
1772,0.855
1773,0.745
1774,0.9
1775,0.895
1776,0.805
1777,0.83
1778,0.835
1779,0.65
1780,0.83
1781,0.86
1782,0.715
1783,0.905
1784,0.9
1785,0.83
1786,0.87
1787,0.84
1788,0.705
1789,0.82
1790,0.915
1791,0.785
1792,0.915
1793,0.905
1794,0.87
1795,0.87
1796,0.87
1797,0.68
1798,0.84
1799,0.87
1800,0.77
1801,0.885
1802,0.94
1803,0.905
1804,0.88
1805,0.88
1806,0.69
1807,0.82
1808,0.93
1809,0.775
1810,0.885
1811,0.945
1812,0.875
1813,0.91
1814,0.9
1815,0.725
1816,0.86
1817,0.915
1818,0.785
1819,0.875
1820,0.93
1821,0.86
1822,0.905
1823,0.91
1824,0.81
1825,0.79
1826,0.91
1827,0.77
1828,0.895
1829,0.93
1830,0.89
1831,0.88
1832,0.895
1833,0.705
1834,0.815
1835,0.93
1836,0.785
1837,0.855
1838,0.945
1839,0.885
1840,0.88
1841,0.885
1842,0.66
1843,0.815
1844,0.925
1845,0.77
1846,0.84
1847,0.92
1848,0.84
1849,0.845
1850,0.81
1851,0.705
1852,0.775
1853,0.9
1854,0.815
1855,0.845
1856,0.93
1857,0.92
1858,0.91
1859,0.92
1860,0.695
1861,0.855
1862,0.92
1863,0.79
1864,0.88
1865,0.925
1866,0.91
1867,0.88
1868,0.915
1869,0.685
1870,0.845
1871,0.915
1872,0.775
1873,0.885
1874,0.92
1875,0.88
1876,0.895
1877,0.89
1878,0.71
1879,0.86
1880,0.9
1881,0.755
1882,0.86
1883,0.915
1884,0.885
1885,0.835
1886,0.88
1887,0.68
1888,0.78
1889,0.895
1890,0.5
1891,0.5
1892,0.56
1893,0.5
1894,0.5
1895,0.545
1896,0.5
1897,0.5
1898,0.51
1899,0.5
1900,0.495
1901,0.525
1902,0.5
1903,0.53
1904,0.54
1905,0.5
1906,0.49
1907,0.505
1908,0.505
1909,0.565
1910,0.555
1911,0.57
1912,0.535
1913,0.58
1914,0.505
1915,0.585
1916,0.51
1917,0.525
1918,0.565
1919,0.56
1920,0.505
1921,0.53
1922,0.51
1923,0.55
1924,0.565
1925,0.555
1926,0.52
1927,0.595
1928,0.6
1929,0.5
1930,0.525
1931,0.51
1932,0.53
1933,0.55
1934,0.545
1935,0.525
1936,0.555
1937,0.6
1938,0.515
1939,0.535
1940,0.535
1941,0.495
1942,0.555
1943,0.575
1944,0.54
1945,0.595
1946,0.615
1947,0.53
1948,0.51
1949,0.565
1950,0.535
1951,0.57
1952,0.62
1953,0.54
1954,0.54
1955,0.62
1956,0.51
1957,0.52
1958,0.585
1959,0.525
1960,0.52
1961,0.635
1962,0.54
1963,0.605
1964,0.645
1965,0.54
1966,0.57
1967,0.61
1968,0.505
1969,0.575
1970,0.665
1971,0.55
1972,0.66
1973,0.62
1974,0.61
1975,0.57
1976,0.61
1977,0.525
1978,0.605
1979,0.62
1980,0.585
1981,0.64
1982,0.64
1983,0.56
1984,0.555
1985,0.585
1986,0.545
1987,0.535
1988,0.615
1989,0.525
1990,0.63
1991,0.63
1992,0.495
1993,0.59
1994,0.56
1995,0.525
1996,0.59
1997,0.585
1998,0.555
1999,0.67
2000,0.65
2001,0.52
2002,0.555
2003,0.565
2004,0.5
2005,0.58
2006,0.625
2007,0.595
2008,0.62
2009,0.67
2010,0.525
2011,0.605
2012,0.62
2013,0.575
2014,0.6
2015,0.63
2016,0.545
2017,0.655
2018,0.675
2019,0.49
2020,0.56
2021,0.6
2022,0.54
2023,0.6
2024,0.645
2025,0.57
2026,0.665
2027,0.72
2028,0.585
2029,0.585
2030,0.625
2031,0.535
2032,0.585
2033,0.69
2034,0.51
2035,0.605
2036,0.705
2037,0.59
2038,0.595
2039,0.66
2040,0.51
2041,0.585
2042,0.67
2043,0.545
2044,0.64
2045,0.7
2046,0.55
2047,0.62
2048,0.68
2049,0.485
2050,0.61
2051,0.635
2052,0.51
2053,0.685
2054,0.72
2055,0.545
2056,0.615
2057,0.63
2058,0.555
2059,0.645
2060,0.66
2061,0.56
2062,0.745
2063,0.745
2064,0.545
2065,0.585
2066,0.665
2067,0.555
2068,0.65
2069,0.695
2070,0.57
2071,0.715
2072,0.735
2073,0.585
2074,0.605
2075,0.64
2076,0.545
2077,0.66
2078,0.66
2079,0.565
2080,0.725
2081,0.7
2082,0.59
2083,0.615
2084,0.66
2085,0.58
2086,0.57
2087,0.705
2088,0.56
2089,0.705
2090,0.73
2091,0.62
2092,0.645
2093,0.695
2094,0.535
2095,0.62
2096,0.71
2097,0.615
2098,0.73
2099,0.73
2100,0.59
2101,0.645
2102,0.69
2103,0.53
2104,0.59
2105,0.73
2106,0.655
2107,0.705
2108,0.755
2109,0.61
2110,0.69
2111,0.695
2112,0.51
2113,0.61
2114,0.76
2115,0.635
2116,0.72
2117,0.75
2118,0.58
2119,0.68
2120,0.72
2121,0.515
2122,0.655
2123,0.75
2124,0.595
2125,0.645
2126,0.75
2127,0.63
2128,0.685
2129,0.675
2130,0.55
2131,0.595
2132,0.755
2133,0.6
2134,0.68
2135,0.76
2136,0.59
2137,0.69
2138,0.695
2139,0.555
2140,0.63
